"Type","Year","DensityMass","DensityMassLow","DensityMassHigh","DensityNumbers","DensityNumbersLow","DensityNumbersHigh","DensityProb","DensityProbLow","DensityProbHigh"
"Glass","2015",0.563372272193065,0.22693763899265,3.13983789999254,1.95817609699743,1.24505474890154,4.32735436478143,0.117286674722721,0.0782481740688678,0.192029560850889
"Glass","2016",0.5988831051302,0.229262180154857,2.98232118794906,1.95817962416194,1.26781690931049,4.54715353695441,0.117286826071921,0.079869446732983,0.193547764428882
"Glass","2017",0.698210408288235,0.286193297584053,3.56034366635352,1.95818915332435,1.24049835657152,4.45943499458817,0.117287234963717,0.0790474953640752,0.19203584346207
"Glass","2018",0.82297718342744,0.364419740911477,4.1499398659616,1.95820142074845,1.22895025818494,4.19455711800394,0.117287761351503,0.0782184437467424,0.187857582894888
"Glass","2019",0.923729277174055,0.392537637488472,4.45746314860088,1.95822249975812,1.26446575377658,4.34154746406636,0.117288665835162,0.0796371156270141,0.191062648609896
"Glass","2020",0.845760400846526,0.398120148980479,3.78532483312645,1.95824042396246,1.23938722816202,3.99579403766949,0.117289434944676,0.0782161209143354,0.180730622541386
"Glass","2021",0.78095197838737,0.352228790855872,4.26483598864237,1.9582277412894,1.26917541230658,4.75114502641175,0.117288890744353,0.079982515635237,0.197034939239244
"Metal","2015",0.438556196438817,0.202731882321926,2.09815303760958,5.48055730002189,3.93670550624125,8.03856217951455,0.339678587978982,0.264631170702383,0.428802106965671
"Metal","2016",0.44011687737278,0.191444928766616,2.16145410141362,5.48055895798514,4.00926147977139,8.08329086516647,0.33967866061819,0.269397467227359,0.43019152805393
"Metal","2017",0.443889409988393,0.194342324889999,1.97187171284563,5.48054741770728,3.87951812301548,7.82274485364607,0.339678155011628,0.262597512138088,0.425230898022244
"Metal","2018",0.450840787387406,0.208949557357884,2.20429155840618,5.48051024900045,3.99162478707584,7.8944187331736,0.339676526559333,0.268248251371467,0.42216976800908
"Metal","2019",0.466170491827773,0.21053163006295,2.03806178693394,5.48049554245973,3.92804182446946,8.0433675058479,0.339675882227859,0.264412469234755,0.428158440492487
"Metal","2020",0.485875855784727,0.231628930175616,2.23094972065926,5.48051733516324,3.96907161107512,7.87790761403658,0.33967683702203,0.265767584409221,0.422097444357465
"Metal","2021",0.502899364340082,0.225428090990147,2.35521190645728,5.48052117842333,3.9934990553908,7.72453407760531,0.339677005404866,0.267597893514859,0.420126348915685
"Natural","2015",0.135790885248071,0.0940730693116486,0.299499006949799,4.83692756023155,2.96790118104962,8.54400269147216,0.230366296259978,0.166519753832234,0.311398355925337
