"Type","Year","DensityMass","DensityMassLow","DensityMassHigh","DensityNumbers","DensityNumbersLow","DensityNumbersHigh","DensityProb","DensityProbLow","DensityProbHigh"
"Glass","2015",0.393289469064711,0.158165180561491,2.03847692931902,1.96669073914695,1.27224445296595,4.96723957341467,0.101590614249845,0.0709299139408256,0.15903547967177
"Glass","2016",0.431883317566558,0.18656817459054,2.18665700512585,1.96672468755123,1.33097204447589,4.46544866263983,0.101591744948534,0.07177350480572,0.150705594698162
"Glass","2017",0.541103412646558,0.27299716481467,2.6577804903043,1.96681294903525,1.31561879544562,4.50606640419642,0.1015946845633,0.0722737170494821,0.153941387521307
"Glass","2018",0.68429172939302,0.331823763885993,3.24808429817511,1.96691883927189,1.26316619457082,4.37611953574482,0.101598211209421,0.070567339378524,0.150952618713386
"Glass","2019",0.813279409574102,0.421521947723891,3.76310787027578,1.96701767970507,1.28455025207146,4.55419161358971,0.101601502957968,0.0705626609724784,0.152990005757982
"Glass","2020",0.709832421219894,0.355907021099929,3.34107262017763,1.96698419646109,1.30644376758775,4.5564071841624,0.101600387854706,0.0710466081976399,0.155363660981292
"Glass","2021",0.638329463265311,0.316161186540199,2.90302225977239,1.96688341390371,1.25169827646241,4.22784305401113,0.101597031390016,0.0689261231041107,0.14836906352718
"Metal","2015",0.459384400732501,0.261952799866618,1.7778916972733,5.48794150458435,4.23853628938218,7.85074765921848,0.325382117523347,0.26850071132423,0.402452356551135
"Metal","2016",0.460633707928582,0.280989323939714,1.72133620948463,5.4879490107353,4.13660010000593,7.62288979523362,0.325382420754647,0.264773288083272,0.393505457168677
"Metal","2017",0.463695696496916,0.274765216201178,1.71758902660333,5.48795895087292,4.05651384330254,7.82144587441717,0.325382822313027,0.259663502744573,0.400618256903592
"Metal","2018",0.469378261762354,0.279493626415307,1.61938996000462,5.48794567176287,4.16581642901161,7.80901991683128,0.325382285867844,0.265843253864321,0.399633105929581
"Metal","2019",0.481781905731849,0.2834416389959,1.76128069103846,5.48793942765921,4.10601518603303,7.56029184092546,0.325382033620283,0.262574846825053,0.39170344037121
"Metal","2020",0.497983720912212,0.287670582343302,1.99311886846978,5.48797879309665,4.11717996382039,7.91732021607977,0.32538362389121,0.261981745141954,0.403965273692055
"Metal","2021",0.512408972606368,0.307657694416544,1.77222390831741,5.48801000302664,4.19237725892889,7.91906491580906,0.325384884693697,0.265506230947124,0.403770423740162
"Natural","2015",0.250655976861929,0.162627504616426,0.523670774298152,4.93615781928036,3.40493110798315,8.50835100462361,0.21655310844247,0.166777946684651,0.289188184410019
